accession,assembly_stats_contig_l50,assembly_stats_contig_n50,assembly_stats_gc_count,assembly_stats_gc_percent,assembly_stats_genome_coverage,assembly_stats_number_of_component_sequences,assembly_stats_number_of_contigs,assembly_stats_number_of_scaffolds,assembly_stats_scaffold_l50,assembly_stats_scaffold_n50,assembly_stats_total_number_of_chromosomes,assembly_stats_total_sequence_length,assembly_stats_total_ungapped_length,organism_common_name,organism_infraspecific_names_isolate,organism_infraspecific_names_strain,organism_organism_name,organism_tax_id
GCF_045000095.1,1,4793236,2550951,52,100,5,5,5,1,4793236,5,4906354,4906354,,,1CTRMumbai,Salmonella enterica subsp. enterica serovar Typhi,90370
GCF_047777935.1,1,4772289,2483932,52,306,1,1,1,1,4772289,1,4772289,4772289,,GIMC1999:Salty24446_1972,,Salmonella enterica subsp. enterica serovar Typhi,90370
GCF_047777945.1,1,4772278,2483921,52,250,1,1,1,1,4772278,1,4772278,4772278,,GIMC1200:Salty24446_2017,,Salmonella enterica subsp. enterica serovar Typhi,90370
GCF_900185485.1,1,4733003,2504777,52,100,2,2,2,1,4733003,2,4812943,4812943,,4714STDY6831631,,Salmonella enterica subsp. enterica serovar Typhi,90370
GCF_900205245.1,1,4795368,2597934,52,77,2,2,2,1,4795368,2,5011152,5011152,,ISP_03_07467_SGB110-sc-1979083,,Salmonella enterica subsp. enterica serovar Typhi,90370
GCF_900205255.1,1,4765638,2480305,52,113,1,1,1,1,4765638,1,4765638,4765638,,1554-sc-2165329,,Salmonella enterica subsp. enterica serovar Typhi,90370
GCF_900205265.1,1,4795199,2495698,52,93,1,1,1,1,4795199,1,4795199,4795199,,lupe_GEN0059-sc-1979081,,Salmonella enterica subsp. enterica serovar Typhi,90370
GCF_900205275.1,1,4676595,2440605,52,78,1,1,1,1,4676595,1,4676595,4676595,,403Ty-sc-1979084,,Salmonella enterica subsp. enterica serovar Typhi,90370
GCF_900205295.1,1,4618754,2409858,52,55,1,1,1,1,4618754,1,4618754,4618754,,E98_3139-sc-1927833,,Salmonella enterica subsp. enterica serovar Typhi,90370
GCF_940596495.1,1,4783830,2489850,52,654,1,1,1,1,4783830,1,4783830,4783830,,,BRD948,Salmonella enterica subsp. enterica serovar Typhi,90370
GCF_940599845.1,1,4775892,2486314,52,360,1,1,1,1,4775892,1,4775892,4775892,,,BRD948,Salmonella enterica subsp. enterica serovar Typhi,90370
GCF_940618755.1,1,4790681,2493544,52,154,1,1,1,1,4790681,1,4790681,4790681,,,BRD948,Salmonella enterica subsp. enterica serovar Typhi,90370
GCF_940620125.1,1,4789758,2493117,52,134,1,1,1,1,4789758,1,4789758,4789758,,,BRD948,Salmonella enterica subsp. enterica serovar Typhi,90370
GCF_940631035.1,1,4790262,2493340,52,200,1,1,1,1,4790262,1,4790262,4790262,,,BRD948,Salmonella enterica subsp. enterica serovar Typhi,90370
GCA_001048035.2,1,4758451,2480601,52,34,1,1,1,1,4758451,1,4758451,4758451,,,ERL103914,Salmonella enterica subsp. enterica serovar Typhi,90370
GCA_001048375.2,1,4796046,2495709,52,44,1,1,1,1,4796046,1,4796046,4796046,,,M223,Salmonella enterica subsp. enterica serovar Typhi,90370
GCA_001079465.2,1,4771489,2483341,52,78,1,1,1,1,4771489,1,4771489,4771489,,,1553,Salmonella enterica subsp. enterica serovar Typhi,90370
GCA_001088345.2,1,4786155,2490447,52,35,1,1,1,1,4786155,1,4786155,4786155,,,ERL052042,Salmonella enterica subsp. enterica serovar Typhi,90370
GCA_001095585.2,1,4757695,2480015,52,40,1,1,1,1,4757695,1,4757695,4757695,,,ERL114000,Salmonella enterica subsp. enterica serovar Typhi,90370
GCA_001104165.2,1,4777711,2489893,52,41,1,1,1,1,4777711,1,4777711,4777711,,,SGB89,Salmonella enterica subsp. enterica serovar Typhi,90370
GCA_001104885.3,1,4784041,2492953,52,40,1,1,1,1,4784041,1,4784041,4784041,,,SGB90,Salmonella enterica subsp. enterica serovar Typhi,90370
GCA_001106745.2,1,4765548,2480365,52,148,1,1,1,1,4765548,1,4765548,4765548,,,UI2120,Salmonella enterica subsp. enterica serovar Typhi,90370
GCA_001118185.2,1,4781466,2489202,52,62,1,1,1,1,4781466,1,4781466,4781466,,,H12ESR00394-001A,Salmonella enterica subsp. enterica serovar Typhi,90370
GCA_001119245.2,1,4761738,2482006,52,56,1,1,1,1,4761738,1,4761738,4761738,,,76-1292,Salmonella enterica subsp. enterica serovar Typhi,90370
GCA_001121865.2,1,4653627,2429396,52,40,1,1,1,1,4653627,1,4653627,4653627,,,SGB92,Salmonella enterica subsp. enterica serovar Typhi,90370
GCA_001122625.2,1,4797669,2496597,52,100,1,1,1,1,4797669,1,4797669,4797669,,,MDUST255,Salmonella enterica subsp. enterica serovar Typhi,90370
GCA_001127485.2,1,4800835,2502186,52,43,1,1,1,1,4800835,1,4800835,4800835,,,ERL041834,Salmonella enterica subsp. enterica serovar Typhi,90370
GCA_001134605.2,1,4796602,2496036,52,100,1,1,1,1,4796602,1,4796602,4796602,,,MDUST305,Salmonella enterica subsp. enterica serovar Typhi,90370
GCA_001135805.3,1,4782103,2489285,52,100,1,1,1,1,4782103,1,4782103,4782103,,,ERL072973,Salmonella enterica subsp. enterica serovar Typhi,90370
GCA_001148125.2,1,4636142,2414633,52,36,1,1,1,1,4636142,1,4636142,4636142,,,ERL024120,Salmonella enterica subsp. enterica serovar Typhi,90370
GCA_001148305.2,1,4793405,2494142,52,40,1,1,1,1,4793405,1,4793405,4793405,,,ERL082356,Salmonella enterica subsp. enterica serovar Typhi,90370
GCA_001157245.2,1,4808702,2558639,52,35,2,2,2,1,4808702,2,4915408,4915408,,,ERL12148,Salmonella enterica subsp. enterica serovar Typhi,90370
GCA_001163025.2,1,4843068,2523500,52,41,1,1,1,1,4843068,1,4843068,4843068,,,H12ESR04734-001A,Salmonella enterica subsp. enterica serovar Typhi,90370
GCA_001165785.2,1,4781022,2488929,52,34,1,1,1,1,4781022,1,4781022,4781022,,,ERL024919,Salmonella enterica subsp. enterica serovar Typhi,90370
GCA_001173525.2,1,4793333,2494258,52,100,1,1,1,1,4793333,1,4793333,4793333,,,MDUST348,Salmonella enterica subsp. enterica serovar Typhi,90370
GCA_001240865.2,1,4769894,2639458,52,45,3,3,3,1,4769894,3,5091925,5091925,,,ty3-193,Salmonella enterica subsp. enterica serovar Typhi,90370
GCA_001302605.1,1,4793553,2494174,52,256,1,1,1,1,4793553,1,4793553,4793553,,,PM016/13,Salmonella enterica subsp. enterica serovar Typhi,90370
GCA_001302625.1,1,4798993,2496851,52,184,1,1,1,1,4798993,1,4798993,4798993,,,B/SF/13/03/195,Salmonella enterica subsp. enterica serovar Typhi,90370
GCA_001317685.2,1,4648949,2422675,52,186,1,1,1,1,4648949,1,4648949,4648949,,,OVG_041,Salmonella enterica subsp. enterica serovar Typhi,90370
GCA_001356455.2,1,4807786,2503958,52,114,1,1,1,1,4807786,1,4807786,4807786,,,1016889,Salmonella enterica subsp. enterica serovar Typhi,90370
GCA_001357935.2,1,4802101,2603175,52,59,2,2,2,1,4802101,2,4994720,4994720,,,80-2002,Salmonella enterica subsp. enterica serovar Typhi,90370
GCA_001359015.2,1,4781948,2524438,52,70,2,2,2,1,4781948,2,4847221,4847221,,,129-0238-M,Salmonella enterica subsp. enterica serovar Typhi,90370
GCA_001360555.2,1,4783440,2489856,52,60,1,1,1,1,4783440,1,4783440,4783440,,,2010-007898,Salmonella enterica subsp. enterica serovar Typhi,90370
GCA_001361075.2,1,4795849,2551922,52,67,2,2,2,1,4795849,2,4902553,4902553,,,TY585,Salmonella enterica subsp. enterica serovar Typhi,90370
GCA_001362095.2,1,4835677,2517345,52,37,1,1,1,1,4835677,1,4835677,4835677,,,ERL034151,Salmonella enterica subsp. enterica serovar Typhi,90370
GCA_001362135.2,1,4732489,2477566,52,37,3,3,3,1,4732489,3,4759919,4759919,,,ERL11909,Salmonella enterica subsp. enterica serovar Typhi,90370
GCA_001362175.2,1,4807646,2557870,52,38,2,2,2,1,4807646,2,4914350,4914350,,,ERL12960,Salmonella enterica subsp. enterica serovar Typhi,90370
GCA_001362195.2,1,4787723,2492703,52,41,1,1,1,1,4787723,1,4787723,4787723,,,H12ESR00755-001A,Salmonella enterica subsp. enterica serovar Typhi,90370
GCA_001362335.2,1,4772283,2483930,52,42,1,1,1,1,4772283,1,4772283,4772283,,,SGB82,Salmonella enterica subsp. enterica serovar Typhi,90370
GCA_001364695.2,1,4781957,2536031,52,59,2,2,2,1,4781957,2,4879351,4879351,,,ty3-243,Salmonella enterica subsp. enterica serovar Typhi,90370
GCA_001367555.2,1,4723198,2459404,52,44,1,1,1,1,4723198,1,4723198,4723198,,,1036491,Salmonella enterica subsp. enterica serovar Typhi,90370
GCA_001597795.2,1,4861882,2560211,52,166,2,2,2,1,4861882,2,4917159,4917159,,,CMCST_CEPR_1,Salmonella enterica subsp. enterica serovar Typhi,90370
GCA_003429465.1,1,4791341,2493469,52,25.94,1,1,1,1,4791341,1,4791341,4791341,,,Ty21a,Salmonella enterica subsp. enterica serovar Typhi,90370
GCA_003716995.1,1,4782756,2593082,52,111,2,2,2,1,4782756,2,5000268,5000268,,,311189_221186,Salmonella enterica subsp. enterica serovar Typhi,90370
GCA_003717015.1,1,4783528,2593171,52,116,2,2,2,1,4783528,2,5000436,5000436,,,311189_220186,Salmonella enterica subsp. enterica serovar Typhi,90370
GCA_003717035.1,1,4784370,2593555,52,114,2,2,2,1,4784370,2,5001453,5001453,,,311189_219186,Salmonella enterica subsp. enterica serovar Typhi,90370
GCA_003717055.1,1,4778473,2489891,52,95,1,1,1,1,4778473,1,4778473,4778473,,,311189_217103,Salmonella enterica subsp. enterica serovar Typhi,90370
GCA_003717075.1,1,4799426,2555300,52,131,2,2,2,1,4799426,2,4906132,4906132,,,311189_216103,Salmonella enterica subsp. enterica serovar Typhi,90370
GCA_003717095.1,1,4782608,2592626,52,122,2,2,2,1,4782608,2,4999523,4999523,,,311189_215186,Salmonella enterica subsp. enterica serovar Typhi,90370
GCA_003717115.1,1,4782854,2592998,52,120,2,2,2,1,4782854,2,4999937,4999937,,,311189_214186,Salmonella enterica subsp. enterica serovar Typhi,90370
GCA_003717135.1,1,4783243,2592855,52,130,2,2,2,1,4783243,2,4999942,4999942,,,311189_213186,Salmonella enterica subsp. enterica serovar Typhi,90370
GCA_003717215.1,1,4784815,2593784,52,100,2,2,2,1,4784815,2,5001887,5001887,,,311189_212186,Salmonella enterica subsp. enterica serovar Typhi,90370
GCA_003717285.1,1,4786194,2490919,52,107,1,1,1,1,4786194,1,4786194,4786194,,,311189_211186,Salmonella enterica subsp. enterica serovar Typhi,90370
GCA_003717355.1,1,4785705,2594868,52,2.9,2,2,2,1,4785705,2,5004332,5004332,,,311189_210186,Salmonella enterica subsp. enterica serovar Typhi,90370
GCA_003717395.1,1,4783337,2593183,52,137,2,2,2,1,4783337,2,5000621,5000621,,,311189_208186,Salmonella enterica subsp. enterica serovar Typhi,90370
GCA_003717435.1,1,4783092,2489640,52,106,1,1,1,1,4783092,1,4783092,4783092,,,311189_208103,Salmonella enterica subsp. enterica serovar Typhi,90370
GCA_003717455.1,1,4784615,2593480,52,137,2,2,2,1,4784615,2,5001425,5001425,,,311189_207186,Salmonella enterica subsp. enterica serovar Typhi,90370
GCA_003717475.1,1,4786487,2594145,52,102,2,2,2,1,4786487,2,5002279,5002279,,,311189_206186,Salmonella enterica subsp. enterica serovar Typhi,90370
GCA_003717515.1,1,4821321,2567183,52,113,2,2,2,1,4821321,2,4928027,4928027,,,311189_205186,Salmonella enterica subsp. enterica serovar Typhi,90370
GCA_003717535.1,1,4784767,2593814,52,110,2,2,2,1,4784767,2,5002162,5002162,,,311189_204186,Salmonella enterica subsp. enterica serovar Typhi,90370
GCA_003717575.1,1,4799946,2605073,52,28,2,2,2,1,4799946,2,5017285,5017285,,,311189_202186,Salmonella enterica subsp. enterica serovar Typhi,90370
GCA_003717615.1,1,4783691,2537234,52,138,2,2,2,1,4783691,2,4875582,4875582,,,343077_260153,Salmonella enterica subsp. enterica serovar Typhi,90370
GCA_003717635.1,1,4774500,2487474,52,143,1,1,1,1,4774500,1,4774500,4774500,,,343077_255118,Salmonella enterica subsp. enterica serovar Typhi,90370
GCA_003717655.1,1,4807408,2557949,52,113,2,2,2,1,4807408,2,4914114,4914114,,,343077_228157,Salmonella enterica subsp. enterica serovar Typhi,90370
GCA_003717675.1,1,4790593,2550494,52,90,2,2,2,1,4790593,2,4897299,4897299,,,343077_228140,Salmonella enterica subsp. enterica serovar Typhi,90370
GCA_003717695.1,1,4785665,2538302,52,109,2,2,2,1,4785665,2,4877556,4877556,,,343077_215174,Salmonella enterica subsp. enterica serovar Typhi,90370
GCA_003717715.1,1,4814028,2505025,52,107,1,1,1,1,4814028,1,4814028,4814028,,,343077_214162,Salmonella enterica subsp. enterica serovar Typhi,90370
GCA_003717735.1,1,4783204,2536978,52,102,2,2,2,1,4783204,2,4875052,4875052,,,343077_214135,Salmonella enterica subsp. enterica serovar Typhi,90370
GCA_003717755.1,1,4897593,2603646,52,120,2,2,2,1,4897593,2,5004298,5004298,,,343077_213147,Salmonella enterica subsp. enterica serovar Typhi,90370
GCA_003717775.1,1,4795465,2498259,52,106,1,1,1,1,4795465,1,4795465,4795465,,,343077_212159,Salmonella enterica subsp. enterica serovar Typhi,90370
GCA_003717795.1,1,4774558,2487510,52,96,1,1,1,1,4774558,1,4774558,4774558,,,343077_212138,Salmonella enterica subsp. enterica serovar Typhi,90370
GCA_003717815.1,1,4782825,2536815,52,103,2,2,2,1,4782825,2,4874717,4874717,,,343077_211171,Salmonella enterica subsp. enterica serovar Typhi,90370
GCA_003717835.1,1,4809171,2558668,52,131,2,2,2,1,4809171,2,4915877,4915877,,,343076_294172,Salmonella enterica subsp. enterica serovar Typhi,90370
GCA_003717855.1,1,4791108,2496799,52,119,1,1,1,1,4791108,1,4791108,4791108,,,343076_269157,Salmonella enterica subsp. enterica serovar Typhi,90370
GCA_003717875.1,1,4791587,2551044,52,124,2,2,2,1,4791587,2,4898293,4898293,,,343076_253155,Salmonella enterica subsp. enterica serovar Typhi,90370
GCA_003717895.1,1,4808285,2558185,52,129,2,2,2,1,4808285,2,4914991,4914991,,,343076_252143,Salmonella enterica subsp. enterica serovar Typhi,90370
GCA_003717915.1,1,4783891,2537360,52,143,2,2,2,1,4783891,2,4875739,4875739,,,343076_249107,Salmonella enterica subsp. enterica serovar Typhi,90370
GCA_003717935.1,1,4773823,2487062,52,122,1,1,1,1,4773823,1,4773823,4773823,,,343076_248190,Salmonella enterica subsp. enterica serovar Typhi,90370
GCA_003717955.1,1,4775702,2488056,52,115,1,1,1,1,4775702,1,4775702,4775702,,,343076_241106,Salmonella enterica subsp. enterica serovar Typhi,90370
GCA_003717975.1,1,4800621,2553910,52,116,2,2,2,1,4800621,2,4907327,4907327,,,343076_232188,Salmonella enterica subsp. enterica serovar Typhi,90370
GCA_003717995.1,1,4800199,2553700,52,102,2,2,2,1,4800199,2,4906905,4906905,,,343076_227128,Salmonella enterica subsp. enterica serovar Typhi,90370
GCA_003718015.1,1,4775784,2488096,52,83,1,1,1,1,4775784,1,4775784,4775784,,,343076_217103,Salmonella enterica subsp. enterica serovar Typhi,90370
GCA_003718035.1,1,4799269,2553244,52,88,2,2,2,1,4799269,2,4905975,4905975,,,343076_202113,Salmonella enterica subsp. enterica serovar Typhi,90370
GCA_003718055.1,1,4806999,2503493,52,116,1,1,1,1,4806999,1,4806999,4806999,,,311189_291186,Salmonella enterica subsp. enterica serovar Typhi,90370
GCA_003718075.1,1,4799956,2553578,52,96,2,2,2,1,4799956,2,4906662,4906662,,,311189_282186,Salmonella enterica subsp. enterica serovar Typhi,90370
GCA_003718095.1,1,4782083,2489071,52,111,1,1,1,1,4782083,1,4782083,4782083,,,311189_269186,Salmonella enterica subsp. enterica serovar Typhi,90370
GCA_003718115.1,1,4807681,2557838,52,125,2,2,2,1,4807681,2,4914387,4914387,,,311189_268186,Salmonella enterica subsp. enterica serovar Typhi,90370
GCA_003718135.1,1,4804086,2547557,52,128,2,2,2,1,4804086,2,4892630,4892630,,,311189_268103,Salmonella enterica subsp. enterica serovar Typhi,90370
GCA_003718155.1,1,4800376,2499728,52,138,1,1,1,1,4800376,1,4800376,4800376,,,311189_256186,Salmonella enterica subsp. enterica serovar Typhi,90370
GCA_003718175.1,1,4808675,2504384,52,102,1,1,1,1,4808675,1,4808675,4808675,,,311189_255186,Salmonella enterica subsp. enterica serovar Typhi,90370
GCA_003718195.1,1,4781801,2592630,52,112,2,2,2,1,4781801,2,4999085,4999085,,,311189_252186,Salmonella enterica subsp. enterica serovar Typhi,90370
GCA_003718235.1,1,4778368,2489784,52,115,1,1,1,1,4778368,1,4778368,4778368,,,311189_232103,Salmonella enterica subsp. enterica serovar Typhi,90370
GCA_003718255.1,1,4807430,2557737,52,122,2,2,2,1,4807430,2,4914136,4914136,,,311189_231186,Salmonella enterica subsp. enterica serovar Typhi,90370
GCA_003718275.1,1,4782665,2592781,52,161,2,2,2,1,4782665,2,4999748,4999748,,,311189_224186,Salmonella enterica subsp. enterica serovar Typhi,90370
GCA_003718295.1,1,4783762,2592096,52,118,2,2,2,1,4783762,2,4998358,4998358,,,311189_223186,Salmonella enterica subsp. enterica serovar Typhi,90370
GCA_003718315.1,1,4842715,2523200,52,113,1,1,1,1,4842715,1,4842715,4842715,,,311189_222186,Salmonella enterica subsp. enterica serovar Typhi,90370
GCA_003718355.1,1,4801146,2554053,52,139,2,2,2,1,4801146,2,4907851,4907851,,,343078_273110,Salmonella enterica subsp. enterica serovar Typhi,90370
GCA_003718375.1,1,4795890,2498542,52,111,1,1,1,1,4795890,1,4795890,4795890,,,343078_256191,Salmonella enterica subsp. enterica serovar Typhi,90370
GCA_003718395.1,1,4799747,2553708,52,134,2,2,2,1,4799747,2,4906452,4906452,,,343078_251131,Salmonella enterica subsp. enterica serovar Typhi,90370
GCA_003718415.1,1,4783156,2537911,52,116,2,2,2,1,4783156,2,4876601,4876601,,,343078_228140,Salmonella enterica subsp. enterica serovar Typhi,90370
GCA_003718435.1,1,4782707,2536753,52,87,2,2,2,1,4782707,2,4874555,4874555,,,343078_223175,Salmonella enterica subsp. enterica serovar Typhi,90370
GCA_003718455.1,1,4799748,2553450,52,92,2,2,2,1,4799748,2,4906454,4906454,,,343078_211126,Salmonella enterica subsp. enterica serovar Typhi,90370
GCA_003718475.1,1,4801819,2554416,52,135,2,2,2,1,4801819,2,4908524,4908524,,,343078_203125,Salmonella enterica subsp. enterica serovar Typhi,90370
GCA_003718495.1,1,4782235,2489164,52,74,1,1,1,1,4782235,1,4782235,4782235,,,343078_201101,Salmonella enterica subsp. enterica serovar Typhi,90370
GCA_003718515.1,1,4800586,2499852,52,93,1,1,1,1,4800586,1,4800586,4800586,,,343077_292148,Salmonella enterica subsp. enterica serovar Typhi,90370
GCA_003718535.1,1,4797628,2552187,52,151,2,2,2,1,4797628,2,4904334,4904334,,,343077_286126,Salmonella enterica subsp. enterica serovar Typhi,90370
GCA_003718555.1,1,4800928,2554228,52,128,2,2,2,1,4800928,2,4907634,4907634,,,343077_285138,Salmonella enterica subsp. enterica serovar Typhi,90370
GCA_003718575.1,1,4829489,2534242,52,159,2,2,2,1,4829489,2,4872916,4872916,,,343077_281186,Salmonella enterica subsp. enterica serovar Typhi,90370
GCA_003718595.1,1,4807245,2503563,52,151,1,1,1,1,4807245,1,4807245,4807245,,,343077_278127,Salmonella enterica subsp. enterica serovar Typhi,90370
GCA_003718615.1,1,4775386,2487929,52,119,1,1,1,1,4775386,1,4775386,4775386,,,343077_267164,Salmonella enterica subsp. enterica serovar Typhi,90370
GCA_003718635.1,1,4786711,2594531,52,106,2,2,2,1,4786711,2,5003831,5003831,,,311189_218186,Salmonella enterica subsp. enterica serovar Typhi,90370
GCA_003718655.1,1,4783542,2593066,52,109,2,2,2,1,4783542,2,5000389,5000389,,,311189_201186,Salmonella enterica subsp. enterica serovar Typhi,90370
GCA_003719215.1,1,4778864,2490003,52,107,1,1,1,1,4778864,1,4778864,4778864,,,311189_239103,Salmonella enterica subsp. enterica serovar Typhi,90370
GCA_003719235.1,1,4786232,2594367,52,120,2,2,2,1,4786232,2,5003407,5003407,,,311189_203186,Salmonella enterica subsp. enterica serovar Typhi,90370
GCA_003719255.1,1,4782252,2489196,52,113,1,1,1,1,4782252,1,4782252,4782252,,,311189_209186,Salmonella enterica subsp. enterica serovar Typhi,90370
GCA_003719555.1,1,4782348,2646694,52,106,3,3,3,1,4782348,3,5106017,5106017,,,311189_217186,Salmonella enterica subsp. enterica serovar Typhi,90370
GCA_004136335.1,1,4780894,2490089,52,174.49,1,1,1,1,4780894,1,4780894,4780894,,,LXYSH,Salmonella enterica subsp. enterica serovar Typhi,90370
GCA_005885835.1,1,4813117,2549477,52,33,2,2,2,1,4813117,2,4897615,4897615,,,WGS1146,Salmonella enterica subsp. enterica serovar Typhi,90370
GCA_007424245.2,1,4782729,2536462,52,254,2,2,2,1,4782729,2,4880903,4880903,,,681355,Salmonella enterica subsp. enterica serovar Typhi,90370
GCA_008705215.1,1,4804635,2544782,52,184.383,2,2,2,1,4804635,2,4889124,4889124,,,2018K-0756,Salmonella enterica subsp. enterica serovar Typhi,90370
GCA_009734305.1,1,4812688,2548893,52,100,2,2,2,1,4812688,2,4896053,4896053,,,R19.2839,Salmonella enterica subsp. enterica serovar Typhi,90370
GCA_011117275.2,1,4787779,2496141,52,293,1,1,1,1,4787779,1,4787779,4787779,,,CFSAN001004,Salmonella enterica subsp. enterica serovar Typhi,90370
GCA_019645915.1,1,4774014,2487305,52,511,1,1,1,1,4774014,1,4774014,4774014,,,ISP2825,Salmonella enterica subsp. enterica serovar Typhi,90370
GCA_020715345.1,1,4791720,2493301,52,128,1,1,1,1,4791720,1,4791720,4791720,,,Suicune,Salmonella enterica subsp. enterica serovar Typhi,90370
GCA_020715365.1,1,4790278,2492871,52,156,1,1,1,1,4790278,1,4790278,4790278,,,Entei,Salmonella enterica subsp. enterica serovar Typhi,90370
GCA_028747825.1,1,4777665,2488491,52,76,1,1,1,1,4777665,1,4777665,4777665,,,S6,Salmonella enterica subsp. enterica serovar Typhi,90370
GCA_028747845.1,1,4780537,2489871,52,108,1,1,1,1,4780537,1,4780537,4780537,,,S5,Salmonella enterica subsp. enterica serovar Typhi,90370
GCA_028747865.1,1,4776296,2487750,52,132,1,1,1,1,4776296,1,4776296,4776296,,,S4,Salmonella enterica subsp. enterica serovar Typhi,90370
GCA_028747885.1,1,4779270,2489266,52,134,1,1,1,1,4779270,1,4779270,4779270,,,S2,Salmonella enterica subsp. enterica serovar Typhi,90370
GCA_028747905.1,1,4780817,2490017,52,219,1,1,1,1,4780817,1,4780817,4780817,,,S1,Salmonella enterica subsp. enterica serovar Typhi,90370
GCA_028891365.1,1,4780792,2491076,52,420,1,1,1,1,4780792,1,4780792,4780792,,,S7,Salmonella enterica subsp. enterica serovar Typhi,90370
GCA_028891385.1,1,4812716,2549405,52,167,2,2,2,1,4812716,2,4897106,4897106,,,S3,Salmonella enterica subsp. enterica serovar Typhi,90370
GCA_030254665.1,1,4780113,2488282,52,796,1,1,1,1,4780113,1,4780113,4780113,,,2027-2019_CO_04_Copr1,Salmonella enterica subsp. enterica serovar Typhi,90370
GCA_030254685.1,1,4780244,2488365,52,724,1,1,1,1,4780244,1,4780244,4780244,,,2027-2019_CI,Salmonella enterica subsp. enterica serovar Typhi,90370
GCA_030254705.1,1,4777800,2489302,52,1058,1,1,1,1,4777800,1,4777800,4777800,,,1698-2017_CO_06,Salmonella enterica subsp. enterica serovar Typhi,90370
GCA_030254725.1,1,4777908,2489353,52,963,1,1,1,1,4777908,1,4777908,4777908,,,1698-2017_CI,Salmonella enterica subsp. enterica serovar Typhi,90370
GCA_030254745.1,1,4833474,2516792,52,735,1,1,1,1,4833474,1,4833474,4833474,,,1521-2017_CO_04,Salmonella enterica subsp. enterica serovar Typhi,90370
GCA_030254765.1,1,4832976,2516529,52,772,1,1,1,1,4832976,1,4832976,4832976,,,1521-2017_CI,Salmonella enterica subsp. enterica serovar Typhi,90370
GCA_030254785.1,1,4777787,2489286,52,791,1,1,1,1,4777787,1,4777787,4777787,,,424-2019_CI,Salmonella enterica subsp. enterica serovar Typhi,90370
GCA_030254805.1,1,4782091,2489518,52,809,1,1,1,1,4782091,1,4782091,4782091,,,314-2017_CO_03,Salmonella enterica subsp. enterica serovar Typhi,90370
GCA_035320755.1,1,4771161,2486063,52,144,1,1,1,1,4771161,1,4771161,4771161,,,11,Salmonella enterica subsp. enterica serovar Typhi,90370
GCA_039830155.1,1,4783423,2543854,52,380,2,2,2,1,4783423,2,4890129,4890129,,,12013191,Salmonella enterica subsp. enterica serovar Typhi,90370
GCA_041682025.1,1,4795235,2495696,52,35.7,1,1,1,1,4795235,1,4795235,4795235,,,1017142,Salmonella enterica subsp. enterica serovar Typhi,90370
GCA_041682055.1,1,4782639,2489576,52,76,1,1,1,1,4782639,1,4782639,4782639,,,A58390,Salmonella enterica subsp. enterica serovar Typhi,90370
GCA_041682085.1,1,4783470,2575295,52,74.9,2,2,2,1,4783470,2,4969415,4969415,,,BKQT8S,Salmonella enterica subsp. enterica serovar Typhi,90370
GCA_041682155.1,1,4783462,2575287,52,58.7,2,2,2,1,4783462,2,4969405,4969405,,,BKQU3X,Salmonella enterica subsp. enterica serovar Typhi,90370
GCA_041871515.1,1,4787033,2600492,52,120,4,4,4,1,4787033,4,5004141,5004141,,,100302,Salmonella enterica subsp. enterica serovar Typhi,90370
GCA_041892465.1,1,4787046,2600981,52,150,4,4,4,1,4787046,4,5004818,5004818,,,154_NSRL,Salmonella enterica subsp. enterica serovar Typhi,90370
GCA_042191485.1,1,4782168,2489317,52,260,1,1,1,1,4782168,1,4782168,4782168,,,B666,Salmonella enterica subsp. enterica serovar Typhi,90370
GCA_044999545.1,1,4756304,2628052,52,100,16,16,16,1,4756304,16,5058325,5058325,,,2CTRGujarat,Salmonella enterica subsp. enterica serovar Typhi,90370
GCA_044999555.1,1,4796740,2566857,52,100,4,4,4,1,4796740,4,4938941,4938941,,,Toprani,Salmonella enterica subsp. enterica serovar Typhi,90370
GCA_044999565.1,1,4787034,2600964,52,100,4,4,4,1,4787034,4,5004808,5004808,,,11_1036,Salmonella enterica subsp. enterica serovar Typhi,90370
GCA_045000095.1,1,4793236,2550951,52,100,5,5,5,1,4793236,5,4906354,4906354,,,1CTRMumbai,Salmonella enterica subsp. enterica serovar Typhi,90370
GCA_047777935.1,1,4772289,2483932,52,306,1,1,1,1,4772289,1,4772289,4772289,,GIMC1999:Salty24446_1972,,Salmonella enterica subsp. enterica serovar Typhi,90370
GCA_047777945.1,1,4772278,2483921,52,250,1,1,1,1,4772278,1,4772278,4772278,,GIMC1200:Salty24446_2017,,Salmonella enterica subsp. enterica serovar Typhi,90370
GCA_900185485.1,1,4733003,2504777,52,100,2,2,2,1,4733003,2,4812943,4812943,,4714STDY6831631,,Salmonella enterica subsp. enterica serovar Typhi,90370
GCA_900205245.2,1,4795368,2597934,52,77,2,2,2,1,4795368,2,5011152,5011152,,ISP_03_07467_SGB110-sc-1979083,,Salmonella enterica subsp. enterica serovar Typhi,90370
GCA_900205255.1,1,4765638,2480305,52,113,1,1,1,1,4765638,1,4765638,4765638,,1554-sc-2165329,,Salmonella enterica subsp. enterica serovar Typhi,90370
GCA_900205265.1,1,4795199,2495698,52,93,1,1,1,1,4795199,1,4795199,4795199,,lupe_GEN0059-sc-1979081,,Salmonella enterica subsp. enterica serovar Typhi,90370
GCA_900205275.1,1,4676595,2440605,52,78,1,1,1,1,4676595,1,4676595,4676595,,403Ty-sc-1979084,,Salmonella enterica subsp. enterica serovar Typhi,90370
